,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
0,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,1,1.0
1,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,2,0.99
2,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,3,0.422
3,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,4,0.064
4,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,5,0.006
5,1: uniform alternative,1,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,6,0.004
6,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,1,1.0
7,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,2,0.988
8,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,3,0.338
9,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,4,0.038
10,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,5,0.006
11,1: uniform alternative,1,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,6,0.0
